uniprot,Protein.Acc,Protein.Descriptions,up/low,P value.(up/low)
P17562,AT4G01850.1,S-adenosylmethionine synthetase 2,1.341298617,0.02003563
Q9SR73,AT3G10090.1,"Nucleic acid-binding, OB-fold-like protein",1.340515878,0.002447407
Q9ZVL6,AT1G54780.1,thylakoid lumen 18.3 kDa protein,1.339370211,0.005410733
Q9FX88,AT1G49600.1,RNA-binding protein 47A,1.339185604,0.011004994
Q9FN18,AT5G67330.1,natural resistance associated macrophage protein 4,1.338363566,0.008063456
Q9SEU6,AT3G15360.1,thioredoxin M-type 4,1.336887234,0.000997661
Q94EG6,AT5G02240.1,NAD(P)-binding Rossmann-fold superfamily protein,1.33664408,0.000441806
Q9C8C1,AT1G43130.1,like COV 2,1.336479949,1.4652E-05
P51412,AT1G35680.1,Ribosomal protein L21,1.336264057,0.000175119
Q9FXA0,AT1G49740.1,PLC-like phosphodiesterases superfamily protein,1.335723183,0.025179907
P56771,ATCG00540.1,photosynthetic electron transfer A,1.33547728,0.015014335
O04485,AT1G09620.1,ATP binding;leucine-tRNA ligases;aminoacyl-tRNA ligases;nucleotide binding;ATP binding;aminoacyl-tRNA ligases,1.333876475,0.011384641
Q9LV66,AT5G48480.1,Lactoylglutathione lyase / glyoxalase I family protein,1.333695293,0.002893084
Q03250,AT2G21660.1,"cold, circadian rhythm, and rna binding 2",1.333351514,0.103575463
O80897,AT2G32600.1,hydroxyproline-rich glycoprotein family protein,1.332755861,0.000588207
P29514,AT5G12250.1,beta-6 tubulin,1.332234574,0.001667486
P34788,AT1G22780.1,Ribosomal protein S13/S18 family,1.331734497,0.000134486
Q8GXH5,AT5G44710.1,"CONTAINS InterPro DOMAIN/s: Ribosomal protein S27/S33, mitochondrial (InterPro:IPR013219); Has 101 Blast hits to 101 proteins in 55 species: Archae - 0; Bacteria - 0; Metazoa - 8; Fungi - 59; Plants - 26; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).",1.331452945,0.011754616
Q9C9F7,AT1G68220.1,Protein of unknown function (DUF1218),1.331373308,0.00210372
Q9C928,AT1G52930.1,Ribosomal RNA processing Brix domain protein,1.33119707,0.001019748
P49688,AT2G41840.1,Ribosomal protein S5 family protein,1.329499615,0.000387512
Q9LPC7,AT1G01940.1,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein,1.328545781,0.000492633
C0Z361,AT5G56500.2,TCP-1/cpn60 chaperonin family protein,1.328451568,0.001066386
O82628,AT3G01390.2,vacuolar membrane ATPase 10,1.32829057,0.036021219
Q42403,AT5G42980.1,thioredoxin 3,1.327622056,0.00042941
Q9LPT6,AT1G50670.1,OTU-like cysteine protease family protein,1.32719278,0.044821624
Q9LNB6,AT1G12270.1,"stress-inducible protein, putative",1.327102688,0.001089668
Q84VY3,AT1G43800.1,Plant stearoyl-acyl-carrier-protein desaturase family protein,1.324362155,0.001455567
Q9SEI2,AT3G05530.1,regulatory particle triple-A ATPase 5A,1.324256606,0.000901493
O49629,AT4G22240.1,Plastid-lipid associated protein PAP / fibrillin family protein,1.323098638,0.000846448
Q93VT6,AT5G08540.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",1.323035097,0.000356302
Q8L637,AT3G21140.1,Pyridoxamine 5'-phosphate oxidase family protein,1.322062907,0.00025538
O22791,AT2G33410.1,RNA-binding (RRM/RBD/RNP motifs) family protein,1.321819015,0.003695878
Q0WRU5,AT5G22850.1,Eukaryotic aspartyl protease family protein,1.321338323,0.013504746
Q05758,AT3G58610.2,ketol-acid reductoisomerase,1.321130994,0.000142175
Q9SKS8,AT2G20920.1,Protein of unknown function (DUF3353),1.320809655,0.02440007
Q9SJK3,AT2G27880.1,Argonaute family protein,1.320681069,0.000617562
Q1H595,AT1G03330.1,Small nuclear ribonucleoprotein family protein,1.32006045,0.006822988
Q501G2,AT4G32285.2,ENTH/ANTH/VHS superfamily protein,1.319548807,0.009186005
O48549,AT4G31700.1,ribosomal protein S6,1.318124286,0.040499135
P56791,ATCG01310.1,ribosomal protein L2,1.31765281,0.000358105
Q8RX34,AT1G06660.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30820.2); Has 166 Blast hits to 144 proteins in 35 species: Archae - 0; Bacteria - 17; Metazoa - 13; Fungi - 20; Plants - 104; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).,1.317497384,0.00210372
Q9LP45,AT1G29150.1,non-ATPase subunit 9,1.317248962,0.014036237
Q9FR44,AT3G18000.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,1.316519779,0.067459086
Q9FG99,AT5G50120.1,Transducin/WD40 repeat-like superfamily protein,1.316504074,0.013236011
Q8W585,AT1G06430.1,FTSH protease 8,1.31642905,0.005213281
O64490,AT1G04170.1,eukaryotic translation initiation factor 2 gamma subunit,1.316327282,0.000393443
Q9SIY9,AT2G40360.1,Transducin/WD40 repeat-like superfamily protein,1.315324948,0.005215304
Q941L0,AT5G05170.1,Cellulose synthase family protein,1.314558766,3.77117E-05
Q9ZW74,AT2G43210.1,Ubiquitin-like superfamily protein,1.314374591,0.005361364
Q9LXT8,AT5G13010.1,RNA helicase family protein,1.313407987,0.087580982
Q9SAJ4,AT1G79550.2,phosphoglycerate kinase,1.312965512,0.000170732
O81047,AT2G03270.1,"DNA-binding protein, putative",1.312249152,0.000154237
Q42449,AT2G19760.1,profilin 1,1.311302761,0.011093962
Q9FXA2,AT1G49760.1,poly(A) binding protein 8,1.31121824,0.011731045
O81146,AT5G35590.1,proteasome alpha subunit A1,1.311106506,0.000115002
A1A6I1,AT1G69980.1,unknown protein; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30 Blast hits to 30 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 30; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1.311048645,0.118232491
Q8RWV5,AT3G20800.1,"Cell differentiation, Rcd1-like protein",1.310991134,0.003313653
Q9LHC4,AT3G32930.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 57 Blast hits to 57 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 57; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1.309690959,0.002842421
Q9M9K1,AT3G08590.1,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",1.309569891,0.000575391
Q9S7W4,AT3G07720.1,Galactose oxidase/kelch repeat superfamily protein,1.309414634,0.002655892
P48491,AT3G55440.1,triosephosphate isomerase,1.309291015,0.008162735
Q8L7V3,AT5G64030.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,1.309274854,0.000113327
O82629,AT4G23710.1,vacuolar ATP synthase subunit G2,1.307882717,0.043220215
Q39102,AT1G50250.1,FTSH protease 1,1.307507335,0.000998495
Q9LT31,AT3G19770.1,Vacuolar sorting protein 9 (VPS9) domain,1.307458952,0.04022199
Q9SAC0,AT1G10830.1,15-cis-zeta-carotene isomerase,1.306728177,0.001455626
Q9ZVN2,AT1G54570.1,Esterase/lipase/thioesterase family protein,1.305169032,0.000564628
Q9FJP3,AT5G65220.1,Ribosomal L29 family protein,1.303869085,0.119282329
Q9LR91,AT1G24040.2,Acyl-CoA N-acyltransferases (NAT) superfamily protein,1.303617108,0.05801485
Q96321,AT3G06720.1,importin alpha isoform 1,1.302428571,0.039568974
Q9LXF2,AT5G15300.1,Pentatricopeptide repeat (PPR) superfamily protein,1.302357245,0.162189367
Q9LXG1,AT5G15200.1,Ribosomal protein S4,1.302156243,0.000535992
Q42586,AT3G54470.1,uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS),1.301856579,0.000227091
P42733,AT5G23740.1,ribosomal protein S11-beta,1.301046517,0.002732448
Q9LM76,AT1G20780.1,senescence-associated E3 ubiquitin ligase 1,1.300087294,0.000314469
Q9SF53,AT3G09500.1,Ribosomal L29 family protein,1.300027442,0.004980471
Q8L960,AT2G39140.1,pseudouridine synthase family protein,1.299770456,0.026507545
Q9FL44,AT5G07020.1,proline-rich family protein,1.299561456,0.013263177
P42761,AT2G30870.1,glutathione S-transferase PHI 10,1.298959939,0.00161668
Q9ZWA8,AT1G03870.1,FASCICLIN-like arabinoogalactan 9,1.298026354,0.00964062
Q93Z42,AT5G19750.1,Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein,1.297118546,0.000982071
Q0IGM5,AT1G56080.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 6 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G16520.1); Has 196 Blast hits to 193 proteins in 50 species: Archae - 2; Bacteria - 0; Metazoa - 9; Fungi - 2; Plants - 132; Viruses - 0; Other Eukaryotes - 51 (source: NCBI BLink).,1.297003731,0.008335078
Q94KE3,AT3G52990.1,Pyruvate kinase family protein,1.295513228,4.12531E-05
Q9MAT3,AT1G04850.1,ubiquitin-associated (UBA)/TS-N domain-containing protein,1.295329691,0.323681082
Q9LXV9,AT3G44020.1,thylakoid lumenal P17.1 protein,1.293950502,0.000627651
O80840,AT2G45790.1,phosphomannomutase,1.293572548,0.004425258
Q9LYG3,AT5G11670.1,NADP-malic enzyme 2,1.293424363,0.000933343
Q9FH07,AT5G42220.1,Ubiquitin-like superfamily protein,1.293399263,0.056235289
Q8W4M5,AT1G12000.1,Phosphofructokinase family protein,1.292632926,0.014134672
Q9FN50,AT5G23040.1,Protein of unknown function (DUF3353),1.292229275,0.001194681
Q9LD57,AT3G12780.1,phosphoglycerate kinase 1,1.291469311,0.001723033
Q9ZUU4,AT2G37220.1,RNA-binding (RRM/RBD/RNP motifs) family protein,1.29010672,0.014535183
Q94C69,AT2G17870.1,cold shock domain protein 3,1.290018426,0.003496121
O65569,AT4G30800.1,"Nucleic acid-binding, OB-fold-like protein",1.289412843,0.000500846
Q9C9P4,AT1G74960.2,fatty acid biosynthesis 1,1.288437001,0.001185582
P25856,AT3G26650.1,glyceraldehyde 3-phosphate dehydrogenase A subunit,1.287568272,0.002628165
Q9CA67,AT1G74470.1,Pyridine nucleotide-disulphide oxidoreductase family protein,1.286964632,0.13360296
Q9M339,AT3G53870.1,Ribosomal protein S3 family protein,1.286521042,0.000206169
Q0WRZ0,AT1G75850.1,VPS35 homolog B,1.28640865,0.003806139
Q9SK22,AT2G09990.1,Ribosomal protein S5 domain 2-like superfamily protein,1.285995476,0.026369076
O64517,AT1G79340.1,metacaspase 4,1.284793587,0.020362901
Q68KI4,AT5G27150.1,Na+/H+ exchanger 1,1.284006881,0.000746221
Q9LTF2,AT5G52650.1,RNA binding Plectin/S10 domain-containing protein,1.283796003,0.010167936
Q9FPJ8,AT5G54900.1,RNA-binding protein 45A,1.283441039,0.006737638
A4FVR1,AT1G55820.1,Kinase-related protein of unknown function (DUF1296),1.283147757,0.008876029
Q93VA8,AT1G76010.1,Alba DNA/RNA-binding protein,1.282271349,0.002070382
Q39172,AT5G16970.1,alkenal reductase,1.28167932,0.000232132
Q681W7,AT3G04950.1,CONTAINS InterPro DOMAIN/s: SEC-C motif (InterPro:IPR004027); Has 583 Blast hits to 583 proteins in 248 species: Archae - 0; Bacteria - 488; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 61 (source: NCBI BLink).,1.279330949,0.012583914
Q9FMD5,AT5G16620.1,hydroxyproline-rich glycoprotein family protein,1.278915637,0.007376355
O23264,AT4G14030.1,selenium-binding protein 1,1.27880665,0.003204223
P46283,AT3G55800.1,sedoheptulose-bisphosphatase,1.278779003,0.001079726
A1A6M1,AT4G13670.1,plastid transcriptionally active 5,1.278758087,0.002816386
Q9SI61,AT2G16570.1,GLN phosphoribosyl pyrophosphate amidotransferase 1,1.276869313,0.001061121
Q42510,AT1G13980.2,sec7 domain-containing protein,1.276814299,0.008191426
Q9LSP5,AT3G17020.1,Adenine nucleotide alpha hydrolases-like superfamily protein,1.276401822,0.000158267
Q9M7T1,AT3G06040.2,Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein,1.275965063,0.034708534
Q8GXK1,AT4G33625.1,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: Golgi apparatus membrane protein TVP15 (InterPro:IPR013714); Has 59 Blast hits to 59 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink).",1.275779756,0.080606257
Q9LQQ3,AT1G07750.1,RmlC-like cupins superfamily protein,1.275608346,0.000891302
Q42134,AT3G14290.1,20S proteasome alpha subunit E2,1.275173013,0.080174608
Q0WUY5,AT3G07660.1,Kinase-related protein of unknown function (DUF1296),1.274926537,0.007721223
O80574,AT2G44040.1,"Dihydrodipicolinate reductase, bacterial/plant",1.274447489,0.004184268
Q0WW84,AT3G19130.1,RNA-binding protein 47B,1.273549182,0.014319853
Q9LFP1,AT5G11150.1,vesicle-associated membrane protein 713,1.273272469,0.001551776
Q03251,AT4G39260.1,"cold, circadian rhythm, and RNA binding 1",1.272846331,0.106738426
Q9LUS2,AT3G16620.1,translocon outer complex protein 120,1.27283451,0.003404208
B3LF44,AT2G31060.1,elongation factor family protein,1.272493654,0.048413837
Q3E9E3,AT5G18700.1,Protein kinase family protein with ARM repeat domain,1.272440023,0.001722437
Q04836,AT4G24770.1,31-kDa RNA binding protein,1.271389877,0.048832944
Q9MAR2,AT1G43860.1,sequence-specific DNA binding transcription factors,1.270584017,0.007925989
Q1H5D6,AT3G63390.1,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,1.270311298,0.060796454
O82204,AT2G19730.3,Ribosomal L28e protein family,1.26923836,2.6177E-05
P34795,AT5G42740.1,Sugar isomerase (SIS) family protein,1.268960994,0.00021089
Q9FPJ4,AT5G47200.1,RAB GTPase homolog 1A,1.268735715,0.022105341
P42797,AT3G22300.1,ribosomal protein S10,1.267686448,0.002886252
P56798,ATCG00800.1,structural constituent of ribosome,1.266437786,0.015441844
Q0WLS8,AT5G24710.1,Transducin/WD40 repeat-like superfamily protein,1.265991875,0.000455645
P22954,AT5G02490.1,Heat shock protein 70 (Hsp 70) family protein,1.265430356,0.000619647
O22285,AT2G39750.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,1.264704116,0.009946077
Q9LHG9,AT3G12390.1,"Nascent polypeptide-associated complex (NAC), alpha subunit family protein",1.264646447,0.000904903
Q93W02,AT5G24690.1,Protein of unknown function (DUF3411),1.264247506,0.0132664
Q41963,AT3G26520.1,tonoplast intrinsic protein 2,1.264081791,0.000137968
Q8LPR9,AT1G06950.1,translocon at the inner envelope membrane of chloroplasts 110,1.262385693,0.000990631
Q9LNU5,AT1G20220.1,Alba DNA/RNA-binding protein,1.261850335,0.003965008
Q56WN1,AT5G37600.1,glutamine synthase clone R1,1.261616561,0.117520622
P17745,AT4G20360.1,RAB GTPase homolog E1B,1.261512031,0.007025477
Q9SV89,AT4G10320.1,"tRNA synthetase class I (I, L, M and V) family protein",1.260733884,4.36781E-05
Q680C0,AT4G10955.1,alpha/beta-Hydrolases superfamily protein,1.259558979,0.023507372
Q9T076,AT4G27520.1,early nodulin-like protein 2,1.259320916,0.003747996
P47999,AT2G43750.2,O-acetylserine (thiol) lyase B,1.258408167,0.002842605
Q9LXL5,AT3G43190.1,sucrose synthase 4,1.256939386,0.000210018
Q9S9P1,AT1G15930.2,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein,1.256339371,0.005448839
Q9SGA6,AT3G02080.1,Ribosomal protein S19e family protein,1.255909951,0.004326307
Q7DMA9,AT3G54010.1,FKBP-type peptidyl-prolyl cis-trans isomerase family protein,1.255879802,0.000647053
Q9LV09,AT5G53400.1,HSP20-like chaperones superfamily protein,1.254704888,0.032691257
O80565,AT2G43950.1,chloroplast outer envelope protein 37,1.252793025,0.084348057
Q9LK65,AT3G13070.1,CBS domain-containing protein / transporter associated domain-containing protein,1.252594706,0.000271756
Q93Y35,AT4G24820.1,"26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain",1.252354511,0.006645344
Q9M4B5,AT1G08780.1,ABI3-interacting protein 3,1.251611343,0.041125655
Q9FFT4,AT5G54960.1,pyruvate decarboxylase-2,1.251480519,0.008499247
Q39097,AT5G47880.1,eukaryotic release factor 1-1,1.251345007,0.001534751
Q8GY71,AT4G15450.1,Senescence/dehydration-associated protein-related,1.250892065,0.113318041
Q9FHW7,AT5G42190.1,E3 ubiquitin ligase SCF complex subunit SKP1/ASK1 family protein,1.250824362,0.009879102
Q8VYP5,AT3G60800.1,DHHC-type zinc finger family protein,1.250502589,0.010518375
Q9S7B5,AT4G29840.1,Pyridoxal-5'-phosphate-dependent enzyme family protein,1.25022097,0.003706656
Q39161,AT2G15620.1,nitrite reductase 1,1.250034737,0.000432319
P56774,ATCG00730.1,photosynthetic electron transfer D,1.249854525,0.215897246
Q9LK61,AT3G13120.1,Ribosomal protein S10p/S20e family protein,1.249493537,0.001686415
Q945P5,AT3G62580.1,Late embryogenesis abundant protein (LEA) family protein,1.249119096,0.039165377
Q9C500,AT1G47200.1,WPP domain protein 2,1.24853881,0.029343416
Q8L7N0,AT5G16070.1,TCP-1/cpn60 chaperonin family protein,1.248435785,0.002027908
O81126,AT4G31580.2,serine/arginine-rich 22,1.248027713,0.011667911
P0C896,AT3G02650.1,Tetratricopeptide repeat (TPR)-like superfamily protein,1.247671184,0.001428673
Q9SA73,AT1G30580.1,GTP binding,1.247589769,3.96981E-05
Q8VYI4,AT1G14810.1,semialdehyde dehydrogenase family protein,1.247057039,0.000706098
P42804,AT1G58290.1,Glutamyl-tRNA reductase family protein,1.246956169,0.002348678
Q9C9H5,AT1G71380.1,cellulase 3,1.246531029,0.014569485
Q8L9R4,AT5G27990.1,"Pre-rRNA-processing protein TSR2, conserved region",1.24598352,0.136283216
Q9M2T6,AT3G55430.1,O-Glycosyl hydrolases family 17 protein,1.24586269,0.000746004
Q9SKU8,AT2G20690.1,lumazine-binding family protein,1.245639109,0.034126552
Q94EG4,AT3G56820.1,unknown protein; Has 34 Blast hits to 34 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).,1.245220624,0.056355576
P59230,AT2G27530.2,Ribosomal protein L1p/L10e family,1.24435827,0.000582048
P55217,AT3G01120.1,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,1.2438735,0.005862579
Q52T38,AT5G20350.1,Ankyrin repeat family protein with DHHC zinc finger domain,1.243440112,0.018883433
Q9STY6,AT3G47370.1,Ribosomal protein S10p/S20e family protein,1.243160301,0.001517501
P49691,AT5G02870.1,Ribosomal protein L4/L1 family,1.242990118,0.031345252
Q9SS82,AT3G09050.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 120 Blast hits to 120 proteins in 47 species: Archae - 4; Bacteria - 10; Metazoa - 33; Fungi - 2; Plants - 44; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).",1.242511473,0.00012946
Q9ZST4,AT4G01900.1,GLNB1 homolog,1.242372828,0.002967432
Q9LUV2,AT3G17210.1,heat stable protein 1,1.242361204,0.003014446
O50008,AT5G17920.1,Cobalamin-independent synthase family protein,1.242354938,1.82584E-05
O24653,AT3G59920.1,RAB GDP dissociation inhibitor 2,1.241441006,0.000924711
Q9FJN8,AT5G65270.1,RAB GTPase homolog A4A,1.241187597,0.016668778
Q9FY88,AT5G09270.2,unknown protein; Has 25 Blast hits to 25 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1.241096481,0.004607362
Q93ZS6,AT3G05090.1,Transducin/WD40 repeat-like superfamily protein,1.240791635,0.001646435
P17597,AT3G48560.1,chlorsulfuron/imidazolinone resistant 1,1.240095342,0.000181985
Q9LW57,AT3G23400.1,Plastid-lipid associated protein PAP / fibrillin family protein,1.239778064,0.001291491
Q9LY71,AT3G63440.1,cytokinin oxidase/dehydrogenase 6,1.239545844,0.083473099
O80798,AT1G65270.2,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endoplasmic reticulum, plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; Has 149 Blast hits to 149 proteins in 49 species: Archae - 0; Bacteria - 0; Metazoa - 98; Fungi - 0; Plants - 47; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).",1.239364755,0.02016175
B9DFX0,AT4G10000.2,Thioredoxin family protein,1.238475794,0.016605731
Q8W497,AT2G19870.1,tRNA/rRNA methyltransferase (SpoU) family protein,1.238465355,0.000187943
Q93YR3,AT4G22670.1,HSP70-interacting protein 1,1.237664783,0.000224229
Q9LHH7,AT3G12290.1,Amino acid dehydrogenase family protein,1.236630386,0.015483728
O82226,AT2G23980.1,cyclic nucleotide-gated channel 6,1.235872881,0.008385855
Q9LZT4,AT3G45970.1,expansin-like A1,1.235792028,0.000297716
Q9LKA5,AT3G15000.1,cobalt ion binding,1.235667987,0.015055995
Q9SJQ9,AT2G36460.1,Aldolase superfamily protein,1.235223727,0.00300576
A0A1I9LSB9,AT3G07030.1,Alba DNA/RNA-binding protein,1.234898657,8.87646E-05
Q0WLI8,AT5G20610.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G26160.1); Has 918 Blast hits to 759 proteins in 180 species: Archae - 6; Bacteria - 105; Metazoa - 264; Fungi - 89; Plants - 167; Viruses - 5; Other Eukaryotes - 282 (source: NCBI BLink).,1.234797539,0.208222465
Q9M7I7,AT5G43860.1,chlorophyllase 2,1.234705481,0.024541439
Q38814,AT5G54770.1,"thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)",1.234658128,0.030037513
Q9ZVD0,AT2G27100.1,C2H2 zinc-finger protein SERRATE (SE),1.234325518,0.005709389
Q8VZB1,AT2G39080.1,NAD(P)-binding Rossmann-fold superfamily protein,1.233403698,0.042281282
P25858,AT3G04120.1,glyceraldehyde-3-phosphate dehydrogenase C subunit 1,1.23333456,0.035543662
Q9M354,AT3G53710.2,ARF-GAP domain 6,1.233173841,0.006400912
Q9C9K3,AT1G76550.1,Phosphofructokinase family protein,1.232807929,0.099509406
Q9SGN8,AT1G28400.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G33850.1); Has 45374 Blast hits to 18870 proteins in 668 species: Archae - 72; Bacteria - 1460; Metazoa - 1191; Fungi - 1038; Plants - 174; Viruses - 64; Other Eukaryotes - 41375 (source: NCBI BLink).,1.23231756,0.065682941
Q93VG5,AT5G20290.1,Ribosomal protein S8e family protein,1.231502387,0.001514922
Q9FY54,AT5G11110.1,sucrose phosphate synthase 2F,1.231152451,0.00524652
O22860,AT3G59540.1,Ribosomal L38e protein family,1.230417101,0.004353009
Q9C5B1,AT5G08660.1,Protein of unknown function (DUF668),1.230383932,0.002826313
Q93YP0,AT1G23260.1,MMS ZWEI homologue 1,1.230182609,0.142638592
Q94JQ3,AT4G32520.2,serine hydroxymethyltransferase 3,1.229795958,0.011021562
P48641,AT3G24170.3,glutathione-disulfide reductase,1.229145323,8.53642E-05
Q9SV88,AT4G10330.1,glycine-rich protein,1.228830616,0.064473829
P21238,AT2G28000.1,chaperonin-60alpha,1.227542547,0.001977345
Q9S7V4,AT1G74520.1,HVA22 homologue A,1.227409524,0.004419253
Q9M8X9,AT3G04230.1,Ribosomal protein S5 domain 2-like superfamily protein,1.226706167,0.001952315
Q96529,AT3G57610.1,adenylosuccinate synthase,1.226418152,0.000686239
Q9FWX8,AT1G02530.1,P-glycoprotein 12,1.225910434,0.206687026
Q93ZY6,AT1G65220.1,ARM repeat superfamily protein,1.225182084,0.027520242
Q9SZ39,AT4G27000.1,RNA-binding (RRM/RBD/RNP motifs) family protein,1.224985886,0.029517549
Q8LD03,AT5G16130.1,Ribosomal protein S7e family protein,1.22459044,0.00014285
P46645,AT5G19550.1,aspartate aminotransferase 2,1.223667006,0.000274631
Q42418,AT4G29350.1,profilin 2,1.223032127,0.060674777
O64740,AT2G30050.1,transducin family protein / WD-40 repeat family protein,1.222092614,0.07337135
Q9M2E0,AT3G61240.2,DEA(D/H)-box RNA helicase family protein,1.221874829,0.002740292
Q38953,AT3G26560.1,"ATP-dependent RNA helicase, putative",1.220589176,0.049678383
Q9M0Y8,AT4G04910.1,AAA-type ATPase family protein,1.220292242,6.32325E-06
Q9ZQR4,AT2G14520.1,CBS domain-containing protein with a domain of unknown function (DUF21),1.220133655,0.215908319
Q9FHN3,AT5G51510.1,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1352 (InterPro:IPR009787); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,1.219786203,0.028088938
P47998,AT4G14880.2,O-acetylserine (thiol) lyase (OAS-TL) isoform A1,1.21935714,0.001816766
Q9FFK5,AT5G05710.1,Pleckstrin homology (PH) domain superfamily protein,1.219081313,0.001686233
Q9SU93,AT4G29520.1,"LOCATED IN: endoplasmic reticulum, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Saposin B (InterPro:IPR008139); Has 137 Blast hits to 137 proteins in 50 species: Archae - 2; Bacteria - 0; Metazoa - 41; Fungi - 10; Plants - 36; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).",1.21856375,0.004022644
Q9LT57,AT3G27550.1,RNA-binding CRS1 / YhbY (CRM) domain protein,1.218314281,0.016005596
O03042,ATCG00490.1,ribulose-bisphosphate carboxylases,1.216917557,0.020492557
P54609,AT3G09840.1,cell division cycle 48,1.21682998,0.004369092
Q9LTR9,AT5G57020.1,myristoyl-CoA:protein N-myristoyltransferase,1.216817019,9.60758E-05
Q8L940,AT5G01410.1,Aldolase-type TIM barrel family protein,1.21681684,0.016368879
Q6DBN2,AT3G26080.1,plastid-lipid associated protein PAP / fibrillin family protein,1.215378215,0.002173215
P49206,AT2G40590.1,Ribosomal protein S26e family protein,1.215324726,0.154530691
O49377,AT4G32150.1,vesicle-associated membrane protein 711,1.215027056,0.051210208
