"","uniprot","Protein.Acc","Protein.Descriptions","up.low","P.value..up.low.","iso_id","uniprot_seq_length","uniprot_seq_md5","coordinate_id","provider","from","to","template","qmean","qmean_norm","seqid","url"
"1368","Q42418","AT4G29350.1","profilin 2","1.223032127","0.060674777","131","49f8fab40530a56100c71b32bcf3ecdd","5f013d11b2a8324224bf8a40","SWISSMODEL","1","131","6iqj.1.A","-0.2679508749","0.7688903628","100","https://swissmodel.expasy.org/repository/uniprot/Q42418.pdb?provider=swissmodel&from=1&to=131&template=6iqj.1.A&provider=swissmodel","Q42418"
"1369","Q42418","AT4G29350.1","profilin 2","1.223032127","0.060674777","131","49f8fab40530a56100c71b32bcf3ecdd","5de8033302efd04b862ccbb5","PDB","1","131","6iqj","","https://swissmodel.expasy.org/repository/uniprot/Q42418.pdb?from=1&to=131&template=6iqj&provider=pdb","Q42418","131","49f8fab40530a56100c71b32bcf3ecdd"
"1370","Q42418","AT4G29350.1","profilin 2","1.223032127","0.060674777","131","49f8fab40530a56100c71b32bcf3ecdd","5de7ffa802efd03a6a3ebcc7","PDB","2","131","6iqi","","https://swissmodel.expasy.org/repository/uniprot/Q42418.pdb?from=2&to=131&template=6iqi&provider=pdb","Q42418","131","49f8fab40530a56100c71b32bcf3ecdd"
"1371","Q42438","AT5G19450.2","calcium-dependent protein kinase 19","1.909957428","3.37903e-06","Q42438-1","533","a6986a043282a9a1b0617d43898afb2d","5effa80ad1365fd3842b5922","SWISSMODEL","51","498","5jms.1.A","-2.1643034847","0.6988578332","35.7303352356","https://swissmodel.expasy.org/repository/uniprot/Q42438.pdb?provider=swissmodel&from=51&to=498&template=5jms.1.A&provider=swissmodel"
"1372","Q42438","AT5G19450.2","calcium-dependent protein kinase 19","1.909957428","3.37903e-06","Q42438-1","533","a6986a043282a9a1b0617d43898afb2d","5effa80ad1365fd3842b5912","SWISSMODEL","52","411","4lgd.1.A","-4.023280764","0.6324856567","24.2424240112","https://swissmodel.expasy.org/repository/uniprot/Q42438.pdb?provider=swissmodel&from=52&to=411&template=4lgd.1.A&provider=swissmodel"
"1373","Q42438","AT5G19450.2","calcium-dependent protein kinase 19","1.909957428","3.37903e-06","Q42438-1","533","a6986a043282a9a1b0617d43898afb2d","5effa80ad1365fd3842b591a","SWISSMODEL","50","498","3hx4.1.A","-2.0132191671","0.7033705135","35.4260101318","https://swissmodel.expasy.org/repository/uniprot/Q42438.pdb?provider=swissmodel&from=50&to=498&template=3hx4.1.A&provider=swissmodel"
"1374","Q42438","AT5G19450.2","calcium-dependent protein kinase 19","1.909957428","3.37903e-06","Q42438-1","533","a6986a043282a9a1b0617d43898afb2d","5effa80ad1365fd3842b5916","SWISSMODEL","55","422","4kik.1.B","-4.6292642199","0.6082608247","21.9020175934","https://swissmodel.expasy.org/repository/uniprot/Q42438.pdb?provider=swissmodel&from=55&to=422&template=4kik.1.B&provider=swissmodel"
"1375","Q42438","AT5G19450.2","calcium-dependent protein kinase 19","1.909957428","3.37903e-06","Q42438-1","533","a6986a043282a9a1b0617d43898afb2d","5effa80ad1365fd3842b5926","SWISSMODEL","57","379","3h4j.1.A","-4.8932205258","0.5995143599","33.5483856201","https://swissmodel.expasy.org/repository/uniprot/Q42438.pdb?provider=swissmodel&from=57&to=379&template=3h4j.1.A&provider=swissmodel"
"1376","Q42438","AT5G19450.2","calcium-dependent protein kinase 19","1.909957428","3.37903e-06","Q42438-1","533","a6986a043282a9a1b0617d43898afb2d","5effa80ad1365fd3842b591e","SWISSMODEL","51","499","4yga.1.A","-2.4585501308","0.6888435341","35.4260101318","https://swissmodel.expasy.org/repository/uniprot/Q42438.pdb?provider=swissmodel&from=51&to=499&template=4yga.1.A&provider=swissmodel"
"1377","Q42438","AT5G19450.2","calcium-dependent protein kinase 19","1.909957428","3.37903e-06","Q42438-1","533","a6986a043282a9a1b0617d43898afb2d","5effa80ad1365fd3842b590e","SWISSMODEL","53","351","2wel.1.A","-1.6028003327","0.7153974845","41.0774421692","https://swissmodel.expasy.org/repository/uniprot/Q42438.pdb?provider=swissmodel&from=53&to=351&template=2wel.1.A&provider=swissmodel"
"1378","Q42449","AT2G19760.1","profilin 1","1.311302761","0.011093962","131","d1a726857702f2f1cfc390712f43e599","5f013cc652bb2133bd49eb88","SWISSMODEL","2","131","3nul.1.A","0.0290021493","0.7846691197","100","https://swissmodel.expasy.org/repository/uniprot/Q42449.pdb?provider=swissmodel&from=2&to=131&template=3nul.1.A&provider=swissmodel","Q42449"
"1379","Q42449","AT2G19760.1","profilin 1","1.311302761","0.011093962","131","d1a726857702f2f1cfc390712f43e599","5e8460d6df6e7346eb4fb550","PDB","2","131","3nul","","https://swissmodel.expasy.org/repository/uniprot/Q42449.pdb?from=2&to=131&template=3nul&provider=pdb","Q42449","131","d1a726857702f2f1cfc390712f43e599"
"1380","Q42449","AT2G19760.1","profilin 1","1.311302761","0.011093962","131","d1a726857702f2f1cfc390712f43e599","5de803b402efd04e93c9fb2c","PDB","2","131","1a0k","","https://swissmodel.expasy.org/repository/uniprot/Q42449.pdb?from=2&to=131&template=1a0k&provider=pdb","Q42449","131","d1a726857702f2f1cfc390712f43e599"
"1381","Q42479","AT4G23650.1","calcium-dependent protein kinase 6","2.278175328","2.13346e-05","529","6898517ca583ed7951d5f8c8d70f07b7","5effa172c9ca131c3ac2c20b","SWISSMODEL","71","517","5jms.1.A","-0.7806547221","0.7444489468","38.5650215149","https://swissmodel.expasy.org/repository/uniprot/Q42479.pdb?provider=swissmodel&from=71&to=517&template=5jms.1.A&provider=swissmodel","Q42479"
"1382","Q42479","AT4G23650.1","calcium-dependent protein kinase 6","2.278175328","2.13346e-05","529","6898517ca583ed7951d5f8c8d70f07b7","5effa172c9ca131c3ac2c203","SWISSMODEL","71","518","4ysm.1.A","-1.3908766981","0.7240619069","37.4439468384","https://swissmodel.expasy.org/repository/uniprot/Q42479.pdb?provider=swissmodel&from=71&to=518&template=4ysm.1.A&provider=swissmodel","Q42479"
"1383","Q42479","AT4G23650.1","calcium-dependent protein kinase 6","2.278175328","2.13346e-05","529","6898517ca583ed7951d5f8c8d70f07b7","5effa172c9ca131c3ac2c1ff","SWISSMODEL","78","383","2wel.1.A","-1.7767692545","0.7107684774","37.5404548645","https://swissmodel.expasy.org/repository/uniprot/Q42479.pdb?provider=swissmodel&from=78&to=383&template=2wel.1.A&provider=swissmodel","Q42479"
"1384","Q42479","AT4G23650.1","calcium-dependent protein kinase 6","2.278175328","2.13346e-05","529","6898517ca583ed7951d5f8c8d70f07b7","5effa172c9ca131c3ac2c207","SWISSMODEL","72","518","4yga.1.A","-2.7033240633","0.6820337351","38.3408088684","https://swissmodel.expasy.org/repository/uniprot/Q42479.pdb?provider=swissmodel&from=72&to=518&template=4yga.1.A&provider=swissmodel","Q42479"
"1385","Q42510","AT1G13980.2","sec7 domain-containing protein","1.276814299","0.008191426","1451","f5964eecdbb38a7b310ed5c7dadc76ba","5cdb6155732c1ec3f0e0f459","SWISSMODEL","88","457","5has.2.A","-4.9995725104","0.5912142557","15","https://swissmodel.expasy.org/repository/uniprot/Q42510.pdb?provider=swissmodel&from=88&to=457&template=5has.2.A&provider=swissmodel","Q42510"
"1386","Q42525","AT4G29130.1","hexokinase 1","0.674619666","0.001340157","496","041de420739a2dfc23bd3c992ce172c5","5f046d2d0fda4b28618885a0","SWISSMODEL","34","493","4qs7.1.A","-0.9776769974","0.7383088492","100","https://swissmodel.expasy.org/repository/uniprot/Q42525.pdb?provider=swissmodel&from=34&to=493&template=4qs7.1.A&provider=swissmodel","Q42525"
"1387","Q42525","AT4G29130.1","hexokinase 1","0.674619666","0.001340157","496","041de420739a2dfc23bd3c992ce172c5","5de7e2a002efd0ab0d7437b1","PDB","34","493","4qs7","","https://swissmodel.expasy.org/repository/uniprot/Q42525.pdb?from=34&to=493&template=4qs7&provider=pdb","Q42525","496","041de420739a2dfc23bd3c992ce172c5"
"1388","Q42525","AT4G29130.1","hexokinase 1","0.674619666","0.001340157","496","041de420739a2dfc23bd3c992ce172c5","5de7e4fe02efd0b6310236c9","PDB","32","493","4qs8","","https://swissmodel.expasy.org/repository/uniprot/Q42525.pdb?from=32&to=493&template=4qs8&provider=pdb","Q42525","496","041de420739a2dfc23bd3c992ce172c5"
"1389","Q42525","AT4G29130.1","hexokinase 1","0.674619666","0.001340157","496","041de420739a2dfc23bd3c992ce172c5","5de7e7bd02efd0c4f1bde027","PDB","34","494","4qs9","","https://swissmodel.expasy.org/repository/uniprot/Q42525.pdb?from=34&to=494&template=4qs9&provider=pdb","Q42525","496","041de420739a2dfc23bd3c992ce172c5"
"1390","Q42529","AT3G54640.1","tryptophan synthase alpha chain","1.127032354","0.188794575","312","bf764e8dc8c88e11586cea2232f3236e","5efe6e8b2c8de61bdff96f73","SWISSMODEL","51","309","6qky.1.A","-0.785060668","0.7434733325","36.1445770264","https://swissmodel.expasy.org/repository/uniprot/Q42529.pdb?provider=swissmodel&from=51&to=309&template=6qky.1.A&provider=swissmodel","Q42529"
"1391","Q42529","AT3G54640.1","tryptophan synthase alpha chain","1.127032354","0.188794575","312","bf764e8dc8c88e11586cea2232f3236e","5efe6e8b2c8de61bdff96f6f","SWISSMODEL","48","311","1tjr.1.A","-0.4637944895","0.7557034491","59.2307701111","https://swissmodel.expasy.org/repository/uniprot/Q42529.pdb?provider=swissmodel&from=48&to=311&template=1tjr.1.A&provider=swissmodel","Q42529"
"1392","Q42539","AT3G48330.1","protein-l-isoaspartate methyltransferase 1","1.052564373","0.815463544","230","7eadf21c26a10e1e2db7f5ebb046c779","5eff9cb3f89c81ca616e743d","SWISSMODEL","31","189","2br3.1.B","-4.308611677","0.5757387845","15.0684928894","https://swissmodel.expasy.org/repository/uniprot/Q42539.pdb?provider=swissmodel&from=31&to=189&template=2br3.1.B&provider=swissmodel","Q42539"
"1393","Q42539","AT3G48330.1","protein-l-isoaspartate methyltransferase 1","1.052564373","0.815463544","230","7eadf21c26a10e1e2db7f5ebb046c779","5eff9cb3f89c81ca616e7439","SWISSMODEL","16","226","1kr5.1.A","-0.1756058543","0.7728499061","54.3269233704","https://swissmodel.expasy.org/repository/uniprot/Q42539.pdb?provider=swissmodel&from=16&to=226&template=1kr5.1.A&provider=swissmodel","Q42539"
"1394","Q42560","AT4G35830.1","aconitase 1","1.108029426","0.153395314","Q42560-1","898","a819d943a03fd0d42bcb6a90e01abda9","5f015eb470ff5d1f23f66361","SWISSMODEL","5","897","2b3y.1.A","-0.5233671051","0.7452638725","60.8793678284","https://swissmodel.expasy.org/repository/uniprot/Q42560.pdb?provider=swissmodel&from=5&to=897&template=2b3y.1.A&provider=swissmodel"
"1395","Q42560","AT4G35830.1","aconitase 1","1.108029426","0.153395314","Q42560-1","898","a819d943a03fd0d42bcb6a90e01abda9","5f015eb470ff5d1f23f66365","SWISSMODEL","5","897","3sn2.1.A","-1.906395694","0.6968752663","60.8793678284","https://swissmodel.expasy.org/repository/uniprot/Q42560.pdb?provider=swissmodel&from=5&to=897&template=3sn2.1.A&provider=swissmodel"
"1396","Q42564","AT4G35000.1","ascorbate peroxidase 3","0.704750431","0.000600899","287","287b2a1fa7e91fca1fe2fd0025a55c90","5ef434d29a43adb239584258","SWISSMODEL","4","244","1apx.1.A","0.5938561513","0.8027499471","65.1452255249","https://swissmodel.expasy.org/repository/uniprot/Q42564.pdb?provider=swissmodel&from=4&to=244&template=1apx.1.A&provider=swissmodel","Q42564"
"1397","Q42577","AT5G11770.1","NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial","0.999780466","0.998051136","218","3fcb88551b1140ed128448ea08063d88","5effc3fa152a67fa47f073ea","SWISSMODEL","65","218","6qc8.1.F","-1.1868943558","0.721389194","81.1688308716","https://swissmodel.expasy.org/repository/uniprot/Q42577.pdb?provider=swissmodel&from=65&to=218&template=6qc8.1.F&provider=swissmodel","Q42577"
"1398","Q42578","AT5G06720.1","peroxidase 2","0.762500496","0.001404497","335","05955f566a0e67ca904b97ee479432fa","5efdb98e5e0fac5e30dd3b51","SWISSMODEL","31","335","1qo4.1.A","-1.060787147","0.7373642515","100","https://swissmodel.expasy.org/repository/uniprot/Q42578.pdb?provider=swissmodel&from=31&to=335&template=1qo4.1.A&provider=swissmodel","Q42578"
"1399","Q42578","AT5G06720.1","peroxidase 2","0.762500496","0.001404497","335","05955f566a0e67ca904b97ee479432fa","5e845fa66e20f2012513b304","PDB","31","335","1pa2","","https://swissmodel.expasy.org/repository/uniprot/Q42578.pdb?from=31&to=335&template=1pa2&provider=pdb","Q42578","335","05955f566a0e67ca904b97ee479432fa"
"1400","Q42578","AT5G06720.1","peroxidase 2","0.762500496","0.001404497","335","05955f566a0e67ca904b97ee479432fa","5de7d99802efd07e1ec089dc","PDB","31","335","1qo4","","https://swissmodel.expasy.org/repository/uniprot/Q42578.pdb?from=31&to=335&template=1qo4&provider=pdb","Q42578","335","05955f566a0e67ca904b97ee479432fa"
"1401","Q42583","AT1G32380.1","phosphoribosyl pyrophosphate (PRPP) synthase 2","1.076034058","0.286604111","400","55e1b58c9941fb1e170a95441d7b1bf0","5efe359376dbe5c66423eeb3","SWISSMODEL","89","399","1dku.2.A","-1.1518107717","0.7232762481","53.870967865","https://swissmodel.expasy.org/repository/uniprot/Q42583.pdb?provider=swissmodel&from=89&to=399&template=1dku.2.A&provider=swissmodel","Q42583"
"1402","Q42586","AT3G54470.1","uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)","1.301856579","0.000227091","476","3e3912bb2d217a8e9eac738139c09d68","5eff2d8ebe479a96819b7038","SWISSMODEL","215","475","3g3m.1.B","-1.9787510885","0.7053770207","60.546875","https://swissmodel.expasy.org/repository/uniprot/Q42586.pdb?provider=swissmodel&from=215&to=475&template=3g3m.1.B&provider=swissmodel","Q42586"
"1403","Q42586","AT3G54470.1","uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)","1.301856579","0.000227091","476","3e3912bb2d217a8e9eac738139c09d68","5eff2d8ebe479a96819b703c","SWISSMODEL","3","199","2wns.1.A","-0.1402619331","0.7660105151","51.0101013184","https://swissmodel.expasy.org/repository/uniprot/Q42586.pdb?provider=swissmodel&from=3&to=199&template=2wns.1.A&provider=swissmodel","Q42586"
"1404","Q42593","AT1G77490.1","thylakoidal ascorbate peroxidase","1.42517499","0.002520188","426","a3eee80675f530871ec053009e944eb2","5efe732bd6f8987258af075d","SWISSMODEL","79","353","1iyn.1.A","0.5059907115","0.7944044583","85.1211090088","https://swissmodel.expasy.org/repository/uniprot/Q42593.pdb?provider=swissmodel&from=79&to=353&template=1iyn.1.A&provider=swissmodel","Q42593"
"1405","Q42599","AT1G79010.1","Alpha-helical ferredoxin","0.725483366","0.01161027","222","6e427259458e1cfb238091ebddabaae6","5effb555cabb6fb9045eb768","SWISSMODEL","54","222","6qcf.1.G","-2.8162636746","0.6538948631","78.1065063477","https://swissmodel.expasy.org/repository/uniprot/Q42599.pdb?provider=swissmodel&from=54&to=222&template=6qcf.1.G&provider=swissmodel","Q42599"
"1406","Q42601","AT1G29900.1","carbamoyl phosphate synthetase B","1.112354074","0.115254749","1187","df7a6a05a4731df17a4513b300ac8275","5f0218b11e6c62d3281ddbb8","SWISSMODEL","94","1162","1bxr.1.A","-0.3487647936","0.7513727574","58.5551338196","https://swissmodel.expasy.org/repository/uniprot/Q42601.pdb?provider=swissmodel&from=94&to=1162&template=1bxr.1.A&provider=swissmodel","Q42601"
"1407","Q42601","AT1G29900.1","carbamoyl phosphate synthetase B","1.112354074","0.115254749","1187","df7a6a05a4731df17a4513b300ac8275","5f0218b11e6c62d3281ddbb3","SWISSMODEL","91","1178","5dou.1.A","-1.1847483124","0.7221238485","39.5501403809","https://swissmodel.expasy.org/repository/uniprot/Q42601.pdb?provider=swissmodel&from=91&to=1178&template=5dou.1.A&provider=swissmodel","Q42601"
"1408","Q43291","AT1G09590.1","Translation protein SH3-like family protein","1.068925273","0.550423018","164","d457503ae1e84ba46c0508c451320e80","5f00c55566e1ddb96dee6c75","SWISSMODEL","1","160","4v7e.35.A","-4.5854861365","0.5628149132","84.1463394165","https://swissmodel.expasy.org/repository/uniprot/Q43291.pdb?provider=swissmodel&from=1&to=160&template=4v7e.35.A&provider=swissmodel","Q43291"
"1409","Q43314","AT5G18170.1","glutamate dehydrogenase 1","0.642577824","0.000188128","411","876b33bb60ae3669ea0c69d5acb56e16","5efe5aac3684f8baa17c8cde","SWISSMODEL","1","411","6yei.1.A","0.7960121308","0.7914255519","100","https://swissmodel.expasy.org/repository/uniprot/Q43314.pdb?provider=swissmodel&from=1&to=411&template=6yei.1.A&provider=swissmodel","Q43314"
"1410","Q43314","AT5G18170.1","glutamate dehydrogenase 1","0.642577824","0.000188128","411","876b33bb60ae3669ea0c69d5acb56e16","5ed0f8924529ee071d75ba28","PDB","2","410","6yei","","https://swissmodel.expasy.org/repository/uniprot/Q43314.pdb?from=2&to=410&template=6yei&provider=pdb","Q43314","411","876b33bb60ae3669ea0c69d5acb56e16"
"1411","Q43314","AT5G18170.1","glutamate dehydrogenase 1","0.642577824","0.000188128","411","876b33bb60ae3669ea0c69d5acb56e16","5ed0f87130e1bbcfc0a5188c","PDB","2","411","6yeh","","https://swissmodel.expasy.org/repository/uniprot/Q43314.pdb?from=2&to=411&template=6yeh&provider=pdb","Q43314","411","876b33bb60ae3669ea0c69d5acb56e16"
"1412","Q43867","AT1G53840.1","pectin methylesterase 1","2.107402628","1.56563e-05","586","e8e1a34aa6ce7a641507a53d84eec3a5","5efffa509f3c4489281d262a","SWISSMODEL","70","236","1xg2.1.B","-2.3528975866","0.6753681575","21.4765110016","https://swissmodel.expasy.org/repository/uniprot/Q43867.pdb?provider=swissmodel&from=70&to=236&template=1xg2.1.B&provider=swissmodel","Q43867"
"1413","Q43867","AT1G53840.1","pectin methylesterase 1","2.107402628","1.56563e-05","586","e8e1a34aa6ce7a641507a53d84eec3a5","5efffa509f3c4489281d2622","SWISSMODEL","278","586","1xg2.1.A","-1.5884781028","0.7175080339","52.59740448","https://swissmodel.expasy.org/repository/uniprot/Q43867.pdb?provider=swissmodel&from=278&to=586&template=1xg2.1.A&provider=swissmodel","Q43867"
"1414","Q43867","AT1G53840.1","pectin methylesterase 1","2.107402628","1.56563e-05","586","e8e1a34aa6ce7a641507a53d84eec3a5","5efffa509f3c4489281d2626","SWISSMODEL","70","236","1x8z.1.A","-2.2464584556","0.6801557401","18.3673477173","https://swissmodel.expasy.org/repository/uniprot/Q43867.pdb?provider=swissmodel&from=70&to=236&template=1x8z.1.A&provider=swissmodel","Q43867"
"1415","Q43870","AT1G19920.1","Pseudouridine synthase/archaeosine transglycosylase-like family protein","1.372161549","0.000429721","Q43870-1","476","afd121809029e932fcf199e0057bd315","5eff2d57525ccaafbe84e959","SWISSMODEL","64","463","4maf.1.A","0.2094108297","0.770901884","77.75","https://swissmodel.expasy.org/repository/uniprot/Q43870.pdb?provider=swissmodel&from=64&to=463&template=4maf.1.A&provider=swissmodel"
"1416","Q494P0","AT3G54700.1","phosphate transporter 1;7","1.883477558","0.000286453","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1417","Q4V3B8","AT2G43070.1","SIGNAL PEPTIDE PEPTIDASE-LIKE 3","1.166699122","0.027245161","540","cb4072f9865dc4aaffedc50fb8898237","5effb42354c01db2ccc89759","SWISSMODEL","51","187","4tjv.1.A","-3.451458308","0.5987618758","26.5151519775","https://swissmodel.expasy.org/repository/uniprot/Q4V3B8.pdb?provider=swissmodel&from=51&to=187&template=4tjv.1.A&provider=swissmodel","Q4V3B8"
"1418","Q4V3C7","AT4G14230.1","CBS domain-containing protein with a domain of unknown function (DUF21)","1.020193791","0.553385924","495","8dffb333be99b8b2e94fc117d4327b64","5ee8fc4790cb6385b595eaf2","SWISSMODEL","184","327","6gk9.1.B","-4.7922330155","0.539234745","15.625","https://swissmodel.expasy.org/repository/uniprot/Q4V3C7.pdb?provider=swissmodel&from=184&to=327&template=6gk9.1.B&provider=swissmodel","Q4V3C7"
"1419","Q4V3D9","AT3G57030.1","Calcium-dependent phosphotriesterase superfamily protein","0.674079951","0.000661909","374","64197c0b789e8790095a2acd3a29f60f","5efd99eda382907346d01c05","SWISSMODEL","57","372","3v1s.1.A","-3.4738834915","0.6483084422","37.8472213745","https://swissmodel.expasy.org/repository/uniprot/Q4V3D9.pdb?provider=swissmodel&from=57&to=372&template=3v1s.1.A&provider=swissmodel","Q4V3D9"
"1420","Q500Z1","AT5G51220.1","ubiquinol-cytochrome C chaperone family protein","0.839667685","0.045727756","281","92716b3f4ce5a3a796d40e4d587da130","5efef617af1857b26721e911","SWISSMODEL","95","279","6rwt.1.A","-3.3238332645","0.6407773576","25.9887008667","https://swissmodel.expasy.org/repository/uniprot/Q500Z1.pdb?provider=swissmodel&from=95&to=279&template=6rwt.1.A&provider=swissmodel","Q500Z1"
"1421","Q501E6","AT5G25250.1","SPFH/Band 7/PHB domain-containing membrane-associated protein family","1.178894082","0.004411726","470","d09fda287be92d664f63b87a6d91b5ba","5cd606f71a200b3bfcfa813a","SWISSMODEL","4","166","4v60.1.9","-4.8114849539","0.5927968474","19.0789470673","https://swissmodel.expasy.org/repository/uniprot/Q501E6.pdb?provider=swissmodel&from=4&to=166&template=4v60.1.9&provider=swissmodel","Q501E6"
"1422","Q501G2","AT4G32285.2","ENTH/ANTH/VHS superfamily protein","1.319548807","0.009186005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1423","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af339083","SWISSMODEL","29","284","4rly.1.A","-1.0958337828","0.73145043","26.3779525757","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=29&to=284&template=4rly.1.A&provider=swissmodel","Q52T38"
"1424","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af339077","SWISSMODEL","3","254","6cf6.1.A","-0.509151","0.7555093817","26.6409263611","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=3&to=254&template=6cf6.1.A&provider=swissmodel","Q52T38"
"1425","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af33906f","SWISSMODEL","30","282","5le4.1.A","-0.1114058783","0.771691744","31.2000007629","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=30&to=282&template=5le4.1.A&provider=swissmodel","Q52T38"
"1426","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af33907f","SWISSMODEL","28","282","6f5e.1.A","-0.8055800001","0.7435663394","30.952381134","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=28&to=282&template=6f5e.1.A&provider=swissmodel","Q52T38"
"1427","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af339067","SWISSMODEL","31","281","5le6.1.A","0.0159717492","0.7772892722","30.9236946106","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=31&to=281&template=5le6.1.A&provider=swissmodel","Q52T38"
"1428","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af33907b","SWISSMODEL","30","282","5le8.1.A","-0.6222965754","0.7506510716","30.952381134","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=30&to=282&template=5le8.1.A&provider=swissmodel","Q52T38"
"1429","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af33906b","SWISSMODEL","29","282","5lea.1.A","-0.6352421814","0.7501735432","31.0756969452","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=29&to=282&template=5lea.1.A&provider=swissmodel","Q52T38"
"1430","Q52T38","AT5G20350.1","Ankyrin repeat family protein with DHHC zinc finger domain","1.243440112","0.018883433","620","55617c3280f6db9cabcee79c1e8acab7","5f004ee114e8f435af339073","SWISSMODEL","3","283","5ma9.1.B","-1.0227810263","0.7333808541","28.7822875977","https://swissmodel.expasy.org/repository/uniprot/Q52T38.pdb?provider=swissmodel&from=3&to=283&template=5ma9.1.B&provider=swissmodel","Q52T38"
"1431","Q53YF3","AT5G27430.1","Signal peptidase subunit","1.010840036","0.892020032","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1432","Q56WD9","AT2G33150.1","peroxisomal 3-ketoacyl-CoA thiolase 3","0.730496187","3.72494e-05","462","4839bfd524e6badad033a6852b1ab85b","5eff0aa09b05375508f829b3","SWISSMODEL","46","448","2wu9.1.A","0.7266114705","0.7889974016","100","https://swissmodel.expasy.org/repository/uniprot/Q56WD9.pdb?provider=swissmodel&from=46&to=448&template=2wu9.1.A&provider=swissmodel","Q56WD9"
"1433","Q56WD9","AT2G33150.1","peroxisomal 3-ketoacyl-CoA thiolase 3","0.730496187","3.72494e-05","462","4839bfd524e6badad033a6852b1ab85b","5de7d2c602efd05bee84bd8e","PDB","38","440","2c7y","","https://swissmodel.expasy.org/repository/uniprot/Q56WD9.pdb?from=38&to=440&template=2c7y&provider=pdb","Q56WD9","462","4839bfd524e6badad033a6852b1ab85b"
"1434","Q56WD9","AT2G33150.1","peroxisomal 3-ketoacyl-CoA thiolase 3","0.730496187","3.72494e-05","462","4839bfd524e6badad033a6852b1ab85b","5de7e80e02efd0c4f1bde7fa","PDB","46","448","2wu9","","https://swissmodel.expasy.org/repository/uniprot/Q56WD9.pdb?from=46&to=448&template=2wu9&provider=pdb","Q56WD9","462","4839bfd524e6badad033a6852b1ab85b"
"1435","Q56WD9","AT2G33150.1","peroxisomal 3-ketoacyl-CoA thiolase 3","0.730496187","3.72494e-05","462","4839bfd524e6badad033a6852b1ab85b","5de7d53d02efd067d547b92b","PDB","39","441","2c7z","","https://swissmodel.expasy.org/repository/uniprot/Q56WD9.pdb?from=39&to=441&template=2c7z&provider=pdb","Q56WD9","462","4839bfd524e6badad033a6852b1ab85b"
"1436","Q56WK6","AT1G72150.1","PATELLIN 1","2.298445001","1.36607e-05","573","9d3a62d6ae5f329761a47be410e9895e","5effe72f4539f215ad277eff","SWISSMODEL","247","512","4tlg.1.A","-4.2706909814","0.6010568236","27.34375","https://swissmodel.expasy.org/repository/uniprot/Q56WK6.pdb?provider=swissmodel&from=247&to=512&template=4tlg.1.A&provider=swissmodel","Q56WK6"
"1437","Q56WK6","AT1G72150.1","PATELLIN 1","2.298445001","1.36607e-05","573","9d3a62d6ae5f329761a47be410e9895e","5effe72f4539f215ad277efb","SWISSMODEL","254","573","1olm.3.A","-2.2766646065","0.6925273448","22.7564105988","https://swissmodel.expasy.org/repository/uniprot/Q56WK6.pdb?provider=swissmodel&from=254&to=573&template=1olm.3.A&provider=swissmodel","Q56WK6"
